CO,JUR,CNTYNAME,DATE,PLACE,M/R,LTR,BALQUEST,TYPECODE,TYPENAME,TOPCODE,TOPNAME,YES,NO,TOTAL,PERCENT,REQ,PASSFAIL
7,3,CONTRA COSTA,1995-03-07,San Ramon Valley Unified School District,Measure,B,"Because there is a need to standardize and rehabilitate existing schools and to expand instructional space throughout the San Ramon Valley Unified School District and because the District intends to address those needs in all parts of the District, shall the San Ramon Valley Unified School District incur bonded indebtedness in the amount of $82 Million to bear interest at a rate not to exceed he statutory maximum for the purpose of raising money for the purchasing of school lots; the building or purchasing of school buildings; the making of alterations or repairs; the permanent improvement of school grounds; and the carrying out of sewage and drainage project or purposes as authorized in Section 39613 of the Education Code?",11.0,GO Bond,,Education: Bonds,13012,8297,21309,0.6184704596226056,T,Fail
7,3,CONTRA COSTA,1995-06-06,Acalanes Union High School District,Measure,B,"SPECIAL TAX MEASURE.  Because the quality of the schools in our community is vital to the quality of life in our community, shall the Acalanes Union High School District be authorized to increase its Qualified Special Tax by $20 per year for six (6) years, and shall the District's Appropriations Limit be adjusted accordingly, in order to help finance (a) comprehensive educational and academic programs for students of the district, including retaining the 7-period class day; (b) additional library services, materials and equipment; (c) bringing new technologies into the classrooms; and (d) maintaining small class size?",3.0,Property Tax,10.0,Education,16876,6028,22904,0.7368145302130632,T,Pass
7,3,CONTRA COSTA,1995-06-06,Walnut Creek  School District,Measure,C,"SPECIAL BOND MEASURE.  Shall the Walnut Creek School District be authorized to finance the repair, renovation and upgrading of neighborhood elementary and intermediate schools, and district facilities, including safety upgrades, repair leaky roofs, upgrades to inadequate electrical, heating and plumbing systems, site improvements, construction of additional facilities, and the renovation of classrooms and libraries to prepare for technology, by issuing bonds in the maximum principal amount of $21,000,000 with an interest rate not to exceed the limit set by law?",11.0,GO Bond,,Education: Bonds,7516,2507,10023,0.7498752868402674,T,Pass
7,3,CONTRA COSTA,1995-06-06,Martinez Unified School District,Measure,D,"SPECIAL BOND MEASURE.  Shall the Martinez Unified School District issue bonds in the amount of $23,000,000 to renovate Martinez Junior High School, modernize, construct, acquire or replace school facilities, improve school grounds, finance sewer and drainage projects for school property, and provide for long term capital improvements district-wide, which bonds shall bear interest at a rate not to exceed the legal limit, and shall mature no later than August 2014, the final maturity of the District's currently outstanding bonds?",11.0,GO Bond,,Education: Bonds,3655,712,4367,0.8369590107625372,T,Pass
7,3,CONTRA COSTA,1995-11-07,Moraga School District,Measure,A,"SPECIAL BOND MEASURE.  In order to provide adequate classroom space and to rehabilitate schools, shall the Moraga Elementary School District be authorized to finance repairs (such as dry rot), improvements, purchase, construction, and renovations of and additions to school buildings and grounds, including classrooms, science and technology facilities, libraries, safety and seismic upgrades and roofs, by issuing up to $12,000,000 of bonds bearing interest at rates not to exceed the maximum set by law?",11.0,GO Bond,,Education: Bonds,3765,1194,4959,0.7592256503327284,T,Pass
7,3,CONTRA COSTA,1995-11-07,Lafayette Elementary School District,Measure,B,"SPECIAL BOND MEASURE.  Shall the Lafayette Elementary School District be authorized to finance the repair and renovation of Lafayette elementary schools and classrooms; repair leaky roofs; make seismic and safety upgrades, provide safe electrical wiring and adequate outlets; upgrade failing and inefficient heating, ventilation, and lighting systems; construct facilities and renovate deteriorating classrooms, libraries, science and computer laboratories, and school facilities by issuing up to $27,300,000 of bonds at interest rates not to exceed the limit set by law?",11.0,GO Bond,,Education: Bonds,5772,1998,7770,0.7428571428571429,T,Pass
7,3,CONTRA COSTA,1995-11-07,San Ramon Valley Unified School District,Measure,C,"SPECIAL BOND MEASURE.  In order to improve educational opportunities, shall the San Ramon Valley Unified School District construct, improve and renovate classrooms and school facilities to accommodate increased enrollment; provide for safety and seismic upgrades; replace roofs, plumbing, sewer, lighting and electrical systems, where needed; acquire property; renovate classrooms, including out-dated science laboratories and inadequate libraries, by issuing bonds in the amount of $82 million with an interest rate not to exceed nine percent per annum?",11.0,GO Bond,,Education: Bonds,18586,9297,27883,0.6665710289423663,T,Fail
7,3,CONTRA COSTA,1995-11-07,Pittsburg Unified School District,Measure,D,"SPECIAL BOND MEASURE.  To keep students safe, update classrooms for computer technology and construct, expand, acquire, renovate and upgrade classrooms and other school district facilities, shall the Pittsburg Unified School District issue bonds in an amount not to exceed $30,000,000 with an interest rate not to exceed the limit set by law?",11.0,GO Bond,,Education: Bonds,3865,1900,5765,0.6704249783174328,T,Pass
9,3,EL DORADO,1995-11-07,Rescue Union Elementary School District,Measure,A,"Shall the Rescue Union School District issue and sell bonds in the amount of twenty-five million dollars ($25,000,000), to bear interest at a rate not to exceed the statutory limit, in order to acquire school sites and construct school buildings, to renovate classrooms including making alterations to accommodate an expanded science curriculum and computer technology, to upgrade critical support facilities, and to improve school grounds?",11.0,GO Bond,,Education: Bonds,2520,2018,4538,0.5553107095636844,T,Fail
10,3,FRESNO,1995-03-07,Fresno Unified School District,Measure,A,"Shall Fresno Unified School District rehabilitate, repair, modernize, add to or improve school building and grounds; purchase school lots; build or purchase school buildings; and demolish any school building with the intent to replace it with another; which purposes comply with Education Code section 15100 and are further described in the ballot pamphlet by incurring indebtedness in an amount not to exceed $215,000,000.00 at an interest rate allowed by law?",11.0,GO Bond,,Education: Bonds,32047,10707,42754,0.7495672919492913,T,Pass
10,3,FRESNO,1995-03-07,Kings Canyon Unified School District,Measure,E,"Shall the Kings Canyon Joint Unified School District renovate, repair, add to or improve school buildings and grounds; and build  or purchase school buildings; which purposes comply with Education Code Section 15100 and are further described in the Notice of Election by incurring indebtedness not to exceed $20,030,000.00 at an interest rate not to exceed the maximum rate allowed by Government Code section 53531?",11.0,GO Bond,,Education: Bonds,3155,1543,4698,0.6715623669646659,T,Pass
10,3,FRESNO,1995-06-06,Sierra Joint Union High School District,Measure,A,For the establishment of 3 trustee areas in the Sierra Joint Union High School District with Board Members residing in and elected by the registered voters in each respective trustee area.,70.0,Ordinance,12.0,Education: Districts,165,23,188,0.8776595744680851,M,Pass
10,3,FRESNO,1995-11-07,Mendota Unified School District,Recall,1,Should David Castaneda be recalled?,,Recall,,Education: Recall,416,379,795,0.5232704402515723,M,Pass
10,3,FRESNO,1995-11-07,Mendota Unified School District,Recall,2,Should Ramona C. Lozano be recalled?,,Recall,,Education: Recall,422,366,788,0.5355329949238579,M,Pass
10,3,FRESNO,1995-11-07,Mendota Unified School District,Recall,3,Should Alex Ramos be recalled?,,Recall,,Education: Recall,430,368,798,0.5388471177944862,M,Pass
10,3,FRESNO,1995-11-07,Mendota Unified School District,Recall,4,Should Frances Vallejo be recalled?,,Recall,,Education: Recall,421,365,786,0.5356234096692112,M,Pass
10,3,FRESNO,1995-11-07,Kings Canyon Unified School District,Measure,A,"BOND MEASURE.  Shall the Kings Canyon Unified School District renovate, repair, add to or improve school buildings and grounds; and build or purchase school buildings; which purposes comply with Education Code section 15100 and are further described in the Notice of Election by incurring indebtedness not to exceed $20,030,000.00 at interest not to exceed the maximum rate allowed by law?",11.0,GO Bond,,Education: Bonds,3675,1824,5499,0.668303327877796,T,Pass
12,3,HUMBOLDT,1995-03-07,Jacoby Creek Elementary School District,Measure,H,"BOND MEASURE.  Shall the Jacoby Creek School District incur bonded indebtedness in the principal amount of not to exceed $600,000.00, with an interest rate not to exceed the statutory maximum, for the purpose of site improvements including construction of two classrooms, modernization of five classrooms and providing funding to obtain state matching funds?",11.0,GO Bond,,Education: Bonds,403,246,649,0.6209553158705701,T,Fail
12,3,HUMBOLDT,1995-11-07,Jacoby Creek Elementary School District,Measure,K,"BOND MEASURE.  Shall the Jacoby Creek School District incur bonded indebtedness in the principle amount of not to exceed $590,000, with an interest rate not to exceed the statutory maximum, for the purpose of site improvements, including construction of two classrooms, modernization of five classrooms and providing funding to obtain state matching funds?",11.0,GO Bond,,Education: Bonds,621,416,1037,0.5988428158148505,T,Fail
12,3,HUMBOLDT,1995-11-07,Ferndale Unified School District,Measure,M,"BOND MEASURE.  In order to replace dilapidated portable classrooms and buildings, reduce building maintenance cost, upgrade classroom earthquake safety and decrease traffic hazards to children getting on and off school buses, shall the Ferndale Unified School District Incur bonded indebtedness in an amount not to exceed $2.6 million with an interest rate not to exceed the maximum rate allowed by law, to (i) construct a permanent elementary school facility to replace existing portable classrooms and buildings at Ferndale Elementary School, (ii) make needed safety improvements and additions to outdoor playgrounds and bus loading areas at Ferndale Elementary School, (iii) replace temporary portable classrooms at Ferndale High School?",11.0,GO Bond,,Education: Bonds,450,569,1019,0.44160942100098133,T,Fail
13,3,IMPERIAL,1995-03-07,Calipatria Unified School District,Measure,S,"Shall Calipatria Unified School District of Imperial County be authorized to issue bonds in the maximum amount not to exceed $23,700,000 with an interest rate not to exceed the statutory maximum, to acquire and construct new schools and rehabilitate and modernize existing school facilities?",11.0,GO Bond,,Education: Bonds,431,219,650,0.6630769230769231,T,Fail
13,3,IMPERIAL,1995-03-07,Imperial Unified School District,Measure,T,"Shall the Imperial Unified School District incur bonded indebtedness n the principal amount of not to exceed $9,000,000, with an interest rate not to exceed the statutory maximum, for the purpose of constructing a new elementary school and renovating and improving existing facilities?",11.0,GO Bond,,Education: Bonds,612,332,944,0.6483050847457628,T,Fail
13,3,IMPERIAL,1995-06-06,Brawley Union High School District,Measure,V,"Shall Brawley Union High School District of Imperial County be authorized to issue bonds in the maximum amount not to exceed $5,000,000 with an interest rate not to exceed the statutory maximum to renovate existing classrooms, replace and upgrade plumbing systems, and to provide students with access to modern classroom and computer technology?",11.0,GO Bond,,Education: Bonds,965,517,1482,0.6511470985155196,T,Fail
13,3,IMPERIAL,1995-11-07,Imperial Unified School District,Measure,W,"Shall the Imperial Unified School District incur bonded indebtedness in the principal amount of not to exceed $9,000,000, with an interest rate not to exceed the statutory maximum, for the purpose of constructing a new elementary school and renovating and improving existing facilities, with any remaining funds to be used towards the purchase and/or construction of an additional new school site?",11.0,GO Bond,,Education: Bonds,1057,472,1529,0.6913015042511446,T,Pass
13,3,IMPERIAL,1995-11-07,Brawley Union High School District,Measure,X,"Shall Brawley Union High School District of Imperial County be authorized to issue bonds in the maximum amount not to exceed $5,000,000 with an interest rate not to exceed the statutory maximum to renovate existing classrooms, replace and upgrade plumbing systems, and to provide students with access to modern classroom and computer technology?",11.0,GO Bond,,Education: Bonds,1933,986,2919,0.6622130866735183,T,Fail
16,3,KINGS,1995-11-07,Hanford Joint Union High School District,Measure,H,"BOND MEASURE.  To construct permanent classrooms, science and computer labs, a library to the west campus; to acquire school sites, construct, modernize and rehabilitate classrooms and school facilities for student and local community use, shall the Hanford Joint Union High School District issue $20 million of general obligation bonds at an interest rate within the legal limit?",11.0,GO Bond,,Education: Bonds,2933,2968,5901,0.4970344009489917,T,Fail
16,3,KINGS,1995-11-07,Lemoore Union Elementary School District,Measure,L,"BOND MEASURE. Shall the Lemoore Union School District, to accommodate overcrowding and improve educational opportunities, build new classrooms (including a science lab and wiring for modern computer technology at Liberty Middle School) by issuing general obligation bonds in an amount not to exceed Two Million Dollars ($2,000,000) at an interest rate not to exceed the legal maximum?",11.0,GO Bond,,Education: Bonds,829,557,1386,0.5981240981240982,T,Fail
17,3,LAKE,1995-06-06,Lucerne Elementary School District,Measure,Q,"PROPOSED BOND MEASURE.  Shall the Lucerne Elementary School District issue bonds in an amount not to exceed $780,000.00,at an interest rate within the legal limit, to construct, acquire, renovate, and lease, bathrooms, classrooms, land and school facilities?",11.0,GO Bond,,Education: Bonds,381,158,539,0.7068645640074211,T,Pass
18,3,LASSEN,1995-11-07,Ravendale Elementary School District,Recall,1,Shall Bill Brady be recalled?,,Recall,,Education: Recall,45,38,83,0.5421686746987951,M,Pass
18,3,LASSEN,1995-11-07,Ravendale Elementary School District,Recall,2,Shall Tina Severs be recalled?,,Recall,,Education: Recall,45,36,81,0.5555555555555556,M,Pass
18,3,LASSEN,1995-11-07,Ravendale Elementary School District,Recall,3,Shall Melvin Y. McGuff be recalled?,,Recall,,Education: Recall,40,41,81,0.49382716049382713,M,Fail
19,3,LOS ANGELES,1995-03-07,Acton-Agua Dulce Unified School District,Recall,1,Shall LAURELYN BROWNING be recalled (removed) from the office of Governing Board Member?,,Recall,,Education: Recall,1500,541,2041,0.7349338559529642,M,Pass
19,3,LOS ANGELES,1995-03-07,San Marino Unified School District,Proposition,A,"Shall the San Marino Unified School District be authorized to levy a maximum special tax of $100.00 on each parcel of land lying within the District each year of four (4) full years to be used for salaries, facilities, and other lawful expenditures and shall the annual appropriations limit of the District be increased?",3.0,Property Tax,10.0,Education,3036,413,3449,0.880255146419252,T,Pass
19,3,LOS ANGELES,1995-03-07,Paramount Unified School District,Proposition,S,"In order to increase the safety and security of students, reduce overcrowding, provide students  access to modern technology and computers and implement other enhancements to the educational environment throughout the district, shall the Paramount Unified School District incur a bonded indebtedness of not more than $15,000,000, with an interest rate not to exceed the maximum rate allowable by law, to be used for construction, repair, and improvement of classrooms and school facilities, including upgraded safety and security systems?",11.0,GO Bond,,Education: Bonds,1855,1226,3081,0.6020772476468679,T,Fail
19,3,LOS ANGELES,1995-06-06,La Canada Unified School District,Proposition, ,"SPECIAL BOND ELECTION.  To improve safety by bringing existing facilities into compliance with new seismic and life safety building codes, to repair and renovate aging existing school facilities, to build needed school facilities, and to modernize classrooms to accommodate current and future educational and telecommunications technology; shall the La Canada Unified School District incur bonded indebtedness in the principal amount of $15,000,000.00, with an interest rate not to exceed the statutory limit, to rehabilitate, construct and modernize classrooms and public school facilities in La Canada Flintridge?",11.0,GO Bond,,Education: Bonds,3532,965,4497,0.7854124972203691,T,Pass
19,3,LOS ANGELES,1995-06-06,William S. Hart Union High School District,Measure,H,"SPECIAL TAX ELECTION.  To improve educational quality and school safety, shall the William S. Hart Union High School District use the tax rate increase authorized by voters pursuant to Education Code Section 39308 or its predecessor on June 4, 1974 for the purposes then approved and to solely and exclusively prepare plans and specifications and lease sites and buildings at the Hart, Canyon, Saugus, Valencia and Bowman High Schools and the Arroyo Seco, Placerita, La Mesa and Sierra Vista Junior High Schools to: build science and technology laboratories needed to train students for high-tech jobs; repair damage from the Northridge earthquake and strengthen the earthquake safety of classrooms; improve school security systems; add computers and other learning technology in classrooms and libraries; and make additional needed improvements at these schools to benefit students?",3.0,Property Tax,10.0,Education,5139,6864,12003,0.4281429642589353,T,Fail
19,3,LOS ANGELES,1995-11-07,Manhattan Beach Unified School District,Measure,A,"To repair and renovate Manhattan Beach schools, including replacing deteriorating and unsafe electrical, heating, and plumbing systems and comply with current State fire and safety standards, reduce danger from earthquakes, and repair, rehabilitate, construct, and modernize classrooms and school facilities to relieve overcrowding, shall the Manhattan Beach Unified School District issue bonds in an amount not to exceed $47,275,000.00, at an interest rate within the legal limit, with all money raised thereby staying in Manhattan Beach to benefit local children?",11.0,GO Bond,,Education: Bonds,5609,2567,8176,0.6860322896281801,T,Pass
19,3,LOS ANGELES,1995-11-07,El Rancho Unified School District,Measure,D,For decreasing the number of members of the governing board of the El Rancho Unified School District from seven to five.,40.0,Initiative,12.0,Education: Districts,2451,641,3092,0.7926908150064683,M,Pass
19,3,LOS ANGELES,1995-11-07,South Pasadena Unified School District,Measure,L,"To improve health and safety conditions by the repair and renovation of South Pasadena schools and classrooms, including replacing deteriorating and unsafe electrical, heating, and plumbing systems, complying with current fire and safety standards, to reduce danger from earthquakes with seismic upgrades, shall the South Pasadena Unified School District issue $28.7 million of bonds, at an interest rate within the legal limit, to acquire, repair, rehabilitate, construct, and modernize classrooms and school facilities?",11.0,GO Bond,,Education: Bonds,4261,823,5084,0.8381195908733281,T,Pass
20,3,MADERA,1995-06-06,Sierra Joint Union High School District,Measure,A,For the establishment of 3 trustee areas in the Sierra Joint Union High School District with Board Members residing in and elected by the registered voters in each respective trustee area.,70.0,Ordinance,12.0,Education: Districts,232,154,386,0.6010362694300518,M,Pass
20,3,MADERA,1995-09-19,Chawanakee Jt. Elementary School District,Measure,A,"Shall the Chawanakee Joint School District Community Facilities District No. 95-1 (Sierra View) be authorized to finance the construction, acquisition, and improvement of school facilities and equipment at the Sierra View Elementary School by levying a special tax at the rate and apportioned as described in Resolution No. 25-94/95 adopted by the Board of Trustees of the Chawanakee Joint School District on May 3, 1995, which is incorporated herein by reference; and shall bonds in the maximum amount of $10,000,000 be authorized to be issued; and shall an appropriations limit be established for Community Facilities District No. 95-1 (Sierra View) in the amount of the special taxes collected?",11.0,GO Bond,,Education: Bonds,63,688,751,0.08388814913448735,T,Fail
21,3,MARIN,1995-06-06,Lagunitas Elementary School District,Measure,C,"BOND MEASURE.  Shall the Lagunitas Elementary School District incur bonded indebtedness in the amount of $2,600,000 at an interest rate not to exceed the statutory maximum in order to raise money for acquisition or construction of school buildings, including new classrooms; additions or improvement of school grounds; and for sewage and drainage projects as authorized by law?",11.0,GO Bond,,Education: Bonds,754,308,1062,0.7099811676082862,T,Pass
24,3,MERCED,1995-11-07,Turlock Joint Union High School District,Measure,F,"To accommodate increasing student enrollment and to relieve and prevent overcrowding at Turlock High School, shall the Turlock Joint Union High School District be authorized to incur bonded indebtedness in amounts not to exceed $65.5 million, at interest rates not to exceed the statutory limit, to acquire a new high school site and develop and construct the John H. Pitman High School?",11.0,GO Bond,,Education: Bonds,31,42,73,0.4246575342465753,T,Fail
24,3,MERCED,1995-11-07,Los Banos Unified School District,Measure,I,"To acquire and construct school facilities to reduce overcrowding, to upgrade and renovate classrooms and facilities at every school and to provide students with access to computer technology, shall the Los Banos Unified School District of Merced County be authorized to issue bonds in the maximum amount not to exceed $22,000,000 with an interest rate not to exceed the statutory maximum?",11.0,GO Bond,,Education: Bonds,2433,1197,3630,0.6702479338842975,T,Pass
27,3,MONTEREY,1995-03-07,Pacific Grove Unified School District,Measure,A,"ASSESSMENT FOR EDUCATION.  Shall the Pacific Grove Unified School District (1) maintain or reduce class size, (2) maintain and expand library programs, and (3) maintain and expand music programs by levying an annual thirty five dollar assessment ($17.50 per semiannual payment) per assessor's parcel for twenty years, beginning July 1, 1995, with an exemption for each parcel owned and occupied by a person 65 years or older as their principle residence, and for which an annual exemption has been requested by April 30 preceding the applicable tax year?",3.0,Property Tax,10.0,Education,2440,1512,3952,0.6174089068825911,T,Fail
27,3,MONTEREY,1995-06-06,Soledad Unified School District,Measure,A,REORGANIZATION OF SCHOOL DISTRICTS.  Shall the territory of the Soledad Union School District be unified and be governed by a five (5) member board of trustees elected District-wide?,70.0,Ordinance,12.0,Education: Districts,783,188,971,0.8063851699279093,M,Pass
27,3,MONTEREY,1995-06-06,Soledad Unified School District,Measure,B,"Shall the Proposed Soledad Unified School District construct a new high school with support and office facilities by incurring indebtedness in an amount not to exceed $10,500,00 at an interest rate allowed by law?",11.0,GO Bond,,Education: Bonds,756,217,973,0.7769784172661871,T,Pass
27,3,MONTEREY,1995-11-07,Pacific Grove Unified School District,Measure,A,"PARCEL TAX FOR EDUCATIONAL PROGRAMS.  Shall Pacific Grove Unified School District (1) maintain or reduce class size, (2) maintain and expand library programs, and (3) maintain and expand music programs through a thirty-five dollars per year assessment ($17.50 semiannual payment) per parcel, for twenty years, beginning July 1, 1996, with an exemption for each parcel owner at age 65 or older using that parcel as their principal residence, and who applies for an exemption by April 30 preceding the applicable tax year?",3.0,Property Tax,10.0,Education,3938,2330,6268,0.6282705807275047,T,Fail
27,3,MONTEREY,1995-11-07,Santa Rita Union Elementary School District,Measure,B,"In order to acquire and construct permanent classrooms and other school facilities and sites to alleviate student overcrowding, renovate classrooms and school facilities and provide students with access to modern technology, shall Santa Rita Union School District issue $10,000,000 of general obligation bonds, at an interest rate within the legal limit?",11.0,GO Bond,,Education: Bonds,1226,497,1723,0.7115496227510156,T,Pass
27,3,MONTEREY,1995-11-07,Salinas Union High School District,Measure,E,"Shall Salinas Union High School District incur a bonded indebtedness not exceeding Thirty Four Millions Dollars ($34,000,000) at an interest rate not exceeding the maximum allowed by law to: renovate Salinas High; install computer cabling at Washington and El Sausal Middle Schools; construct classrooms and related facilities at Alvarez, Alisal, North Salinas, and Harden Schools; construct a new middle school; provide access to technology at all schools; and such other purposes described in the ballot pamphlet?",11.0,GO Bond,,Education: Bonds,7629,5275,12904,0.5912120272783633,T,Fail
28,3,NAPA,1995-11-07,Calistoga Joint Unified School District,Measure,A,"BOND MEASURE.  To provide Calistoga students with new classrooms to relieve overcrowding, comply with current safety standards, provide a science lab for junior high school students, and upgrade existing classrooms for computer use, shall the Calistoga Joint Unified School District issue $2.8 million of bonds, at an interest rate within the legal limit, to acquire, rehabilitate and construct classrooms for local use?",11.0,GO Bond,,Education: Bonds,752,313,1065,0.7061032863849765,T,Pass
31,3,PLACER,1995-03-07,Loomis Union School District,Measure,A,"To accommodate increasing student enrollments and to relieve and prevent overcrowding in existing schools, shall the Loomis Union School District be authorized to incur bonded indebtedness in amounts not to exceed a total of $9 million, at interest rates not to exceed the rate permitted by law, for the following purposes:  (1) to construct a fourth school; (2) To construct a gymnasium at Franklin School; (3) To construct a gymnasium at Placer School; (4) To modernize the older wings of Loomis School; and (6) To move portable classrooms as necessary within the District?",11.0,GO Bond,,Education: Bonds,1479,1091,2570,0.5754863813229572,T,Fail
31,3,PLACER,1995-03-07,Dry Creek Joint Elementary School District,,B,"To accommodate increasing student enrollments and to relieve and prevent overcrowding in existing schools, shall Dry Creek Elementary School District be authorized to incur bonded indebtedness in amounts not to exceed $21.8 million, at interest rates not to exceed the statutory limit, to acquire school sites; acquire, develop and construct new elementary and middle schools; and to renovate existing schools; within the School District areas in Sacramento County, Placer County and the City of Roseville.",11.0,GO Bond,,Education: Bonds,1192,427,1619,0.7362569487337863,T,Pass
33,3,RIVERSIDE,1995-03-07,Palm Springs Unified School District,Measure,A,"Shall the area of the Palm Springs Unified School District (described below) be transferred to the Desert Sands Unified School District (that territory being all of section 25,26,35 and 36, T.5S, R.5E., S.B.B.M. and all of section 2, T.6S., R.5E., S.B.B.M.)?",70.0,Ordinance,12.0,Education: Districts,43,11,54,0.7962962962962963,M,Pass
33,3,RIVERSIDE,1995-06-06,Lake Elsinore Unified School District,Measure,C,"SPECIAL BOND MEASURE. Shall School Facilities Improvement District No. 1 of the Lake Elsinore Unified School District incur bonded indebtedness in the principal amount of $34,000,000. with an interest rate not to exceed the maximum permitted by law, for the purpose of constructing Phase II of Temescal Canyon High School, improving and modernizing Elsinore Middle School and other facilities, and purchasing relocatable facilities? ",11.0,GO Bond,,Education: Bonds,2228,2769,4997,0.4458675205123074,T,Fail
33,3,RIVERSIDE,1995-11-07,Murrieta Valley Unified School District,Measure,G,"Shall the Murrieta Valley Unified School District of Riverside County incur a bonded indebtedness and be authorized to issue and sell bonds for the following purpose:  the purchase of property for school facilities and the construction of school facilities which are conducive to the use of modern educational technology, including computers; as provided in Education Code Section 15100 in the amount of Forty-Two Million Three Hundred Thousand dollars ($42,300,000) at a rate of interest not to exceed the maximum interest rate provided by law?",11.0,GO Bond,,Education: Bonds,4954,2485,7439,0.665949724425326,T,Fail
33,3,RIVERSIDE,1995-11-07,Lake Elsinore Unified School District,Measure,H,"To relieve district overcrowding and improve education by constructing additional classrooms and school facilities at Temescal Canyon High School; build permanent classrooms and school facilities at Elsinore Middle School, and make necessary repairs and renovations to other school sites, shall the Lake Elsinore Unified School District issue bonds of School Facilities Improvement District No. 1 in the principal amount of $34,000,000 with an interest rate not to exceed the maximum permitted by law?",11.0,GO Bond,,Education: Bonds,3868,3881,7749,0.49916118208801136,T,Fail
34,3,SACRAMENTO,1995-03-07,Dry Creek Joint Elementary School District,Measure,B,"To accommodate increasing student enrollments and to relieve and prevent overcrowding in existing schools, shall Dry Creek Elementary School District be authorized to incur bonded indebtedness in amounts not to exceed $21.8 million, at interest rates not to exceed the statutory limit, to acquire school sites; acquire, develop and construct new elementary and middle schools; and to renovate existing schools; within the School District areas in Sacramento County, Placer County and the City of Roseville.",11.0,GO Bond,,Education: Bonds,389,265,654,0.5948012232415902,T,Fail
36,3,SAN BERNARDINO,1995-03-07,Victor Elementary School District,Measure,Y,"SPECIAL BOND  To reduce overcrowding on school campuses, add classrooms for instruction, and increase safety and security on school campuses by building two new elementary schools and three new cafeterias at existing schools in the district, shall the Victor Elementary School District be authorized to issue $14,000,000 in General Obligation Bonds at an interest rate not to exceed the legal limit?",11.0,GO Bond,,Education: Bonds,2553,1133,3686,0.6926207270754206,T,Pass
36,3,SAN BERNARDINO,1995-11-07,Apple Valley Unified School District,Measure,A,"Shall the merit (civil service) system for school employees not requiring certification qualifications, as provided for in Article 6 (commencing with section 45240) of Chapter 5 of Part 25, of Division 3 of Title 2 of the Education Code of the State of California, and which has been in operation for at least five years, be terminated by the Apple Valley Unified School District of San Bernardino County on December 1, 1995?",70.0,Ordinance,10.0,Education,3855,2715,6570,0.58675799086758,M,Pass
37,3,SAN DIEGO,1995-03-07,Escondido Union High School District,Measure,A,"Shall the Escondido Union High School District incur bonded indebtedness in the principal amount not to exceed $52,500,000, with an interest rate not to exceed the statutory limit, for the purpose of providing students with access to modern classroom technology: to improve facilities for the safety of students including fire, earthquake, electrical, and security systems; to pay for 50% of a new high school to ease overcrowding; and to renovate or replace obsolete classrooms and facilities?",11.0,GO Bond,,Education: Bonds,11446,7232,18678,0.6128065103330121,T,Fail
37,3,SAN DIEGO,1995-03-07,Jamul-Dulzura Union Elementary School District,Measure,B,"Shall the Jamul-Dulzura Union School District of San Diego County be authorized to issue bonds in maximum amount not to exceed $9,000,000, with an interest rate not to exceed the statutory maximum, to provide students with access to maximum technology and to renovate, upgrade, construct, and acquire classrooms and school facilities?",11.0,GO Bond,,Education: Bonds,980,297,1277,0.7674236491777604,T,Pass
37,3,SAN DIEGO,1995-11-07,Julian Union High School District,Measure,A,"$2,500,000 SCHOOL IMPROVEMENT BOND",11.0,GO Bond,,Education: Bonds,841,418,1259,0.6679904686258936,T,Pass
39,3,SAN JOAQUIN,1995-11-07,New Jerusalem School District,Measure,O,"SPECIAL TAX.  Shall the New Jerusalem Elementary School District, for the benefit of its students, be authorized to impose a qualified special tax to be used for the maintenance, reinstatement and development of quality programs and services to include: (a) Employment of Classroom Teachers  (b) Employment of Instructional Aides at the rate of $90 per year for three (3) years on each parcel of land, developed or undeveloped, within the District, excluding property exempted by law, and shall the appropriations limit of the District be raised for three (3) years by the amount received from the tax?",3.0,Property Tax,10.0,Education,199,177,376,0.5292553191489362,T,Fail
41,3,SAN MATEO,1995-11-07,Menlo Park City School District,Measure,C,"TAX MEASURE.  Because the voter-approved tax that supports local schools must be renewed, shall the Menlo Park City Elementary School District be authorized to impose a qualified special tax (a) to maintain class size, (b) to maintain and improve classroom programs, (c) to maintain and improve library programs and materials at the rate of $76 per year, an increase of less than $7 over the current rate (with exemptions for parcels owned and occupied by a person 65 years of age or older, upon application, and certain other property exempted by law) adjusted each year by the percentage change in the consumer Price Index for California, for a limited period of eight (8) years, beginning July 1, 1996 and ending June 30, 2004 and, in connection therewith, raise the appropriations limit of the District each year in an amount equal to the levy of said tax for said year?",3.0,Property Tax,10.0,Education,4993,992,5985,0.8342522974101921,T,Pass
41,3,SAN MATEO,1995-11-07,Menlo Park City School District,Measure,D,"To provide adequate classroom space and to rehabilitate existing schools, shall the Menlo Park City Elementary School District be authorized to acquire and finance repairs, improvements and renovations of and additions to school buildings and grounds, including classrooms, science and computer laboratories and libraries, safety and seismic upgrades, roofs, plumbing, sewer, lighting, electrical and mechanical systems by issuing bonds in the amount of $22,000,000 at an interest rate within the legal maximum?",11.0,GO Bond,,Education: Bonds,4886,1073,5959,0.8199362309112267,T,Pass
