CO,JUR,CNTYNAME,DATE,PLACE,OFFICE,AREA,TERM,LASTNAME,FIRSTNAME,BALDESIG,INCUMB,CAND#,VOTES,TOTVOTES,PERCENT,ELECTED
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Atherton,Ruth,Homemaker,No,8,1226,5858,0.209,Yes
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Cleveland,Jerry L.,Business Owner,No,8,1128,5858,0.193,Yes
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Stone,Joan N.,Business Owner/Realtor,No,8,971,5858,0.166,No
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Heinlein,Sue,Homemaker,No,8,818,5858,0.14,No
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Thompson,Karin,Homemaker,No,8,717,5858,0.122,No
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Engelbach,Bruce,Computer Engineer,No,8,379,5858,0.065,No
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Mayers,G. Larry,Code Enforcement Officer,No,8,357,5858,0.061,No
19,3,LOS ANGELES,1995-11-07,Bellflower Unified ,School Board,,Full,Sanzone,Raymond,Retired Federal Administrator,No,8,262,5858,0.045,No
19,3,LOS ANGELES,1995-11-07,Beverly Hills Unified,School Board,,Full,Koplin,Jo Ann,Incumbent,Yes,4,1822,5946,0.306,Yes
19,3,LOS ANGELES,1995-11-07,Beverly Hills Unified,School Board,,Full,Maas,Virginia,No Ballot Designation,No,4,1753,5946,0.295,Yes
19,3,LOS ANGELES,1995-11-07,Beverly Hills Unified,School Board,,Full,Stone,Richard A.,Incumbent,Yes,4,1644,5946,0.276,Yes
19,3,LOS ANGELES,1995-11-07,Beverly Hills Unified,School Board,,Full,Roth,Trisha,Pediatrician,No,4,727,5946,0.122,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Jones,Ed,Incumbent,Yes,9,1794,9229,0.194,Yes
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Carder,Robin,Finance Clerk,No,9,1515,9229,0.164,Yes
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Au,Diana,Incumbent,Yes,9,1260,9229,0.137,Yes
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Colburn,Bruce E.,Project Controls Manager,No,9,1141,9229,0.124,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Bowcock,Robert W.,Public Utility Manager,No,9,1069,9229,0.116,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Wilkins,John R.,University Professor,No,9,996,9229,0.108,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Canfield,Keith,Businessman,No,9,763,9229,0.083,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Guy,Christian,Loan Officer,No,9,394,9229,0.043,No
19,3,LOS ANGELES,1995-11-07,Bonita Unified ,School Board,,Full,Hogarty,Charles,Purchasing Manager,No,9,297,9229,0.032,No
19,3,LOS ANGELES,1995-11-07,Castaic Union Elementary,School Board,,Full,Caesar,Tom L.,Instructor,No,3,386,999,0.386,Yes
19,3,LOS ANGELES,1995-11-07,Castaic Union Elementary,School Board,,Full,Freeman,Lester M.,Governing Board Member,Yes,3,335,999,0.335,Yes
19,3,LOS ANGELES,1995-11-07,Castaic Union Elementary,School Board,,Full,Johnson,John W.,Appointed Incumbent,Yes,3,278,999,0.278,No
19,3,LOS ANGELES,1995-11-07,Centinela Valley Union High ,School Board,3.0,Full,Escalante,Michael A.,Incumbent,Yes,1,3655,3655,1.0,Yes
19,3,LOS ANGELES,1995-11-07,Centinela Valley Union High ,School Board,4.0,Full,Chiappe,Mario,Social Worker/Educator,No,2,2428,4259,0.57,Yes
19,3,LOS ANGELES,1995-11-07,Centinela Valley Union High ,School Board,4.0,Full,Leventhal,Hilda,Homemaker,No,2,1831,4259,0.43,No
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Moore,John,Incumbent/Governing Bd. Mem.,Yes,8,10542,55181,0.191,Yes
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Loya,Mary,Incumbent,Yes,8,8652,55181,0.157,Yes
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Edmiston,Ted,"Member, Governing Board",Yes,8,8398,55181,0.152,Yes
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Arthur,Robert,Business Owner,No,8,7599,55181,0.138,Yes
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Steenhoek,Ada C.,Incumbent,Yes,8,7113,55181,0.129,No
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Nabulsi,Mazen,Business Manager,No,8,5164,55181,0.094,No
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Sanchez,Rick D.,Administrator,No,8,4563,55181,0.083,No
19,3,LOS ANGELES,1995-11-07,Cerritos Community College ,School Board,,Full,Harris,Joseph,Radio Announcer,No,8,3150,55181,0.057,No
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,Cruz,Robert,Appointed Incumbent,Yes,6,1688,7459,0.226,Yes
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,Mukherji,Ram C.,Incumbent,Yes,6,1673,7459,0.224,Yes
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,Akers,Brian R.,Business Owner,No,6,1559,7459,0.209,Yes
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,Probst,Joseph M.,Incumbent,Yes,6,1107,7459,0.148,No
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,McPheron,Sandy,College Administrator,No,6,1027,7459,0.138,No
19,3,LOS ANGELES,1995-11-07,Charter Oak Unified ,School Board,,Full,Nagel,Daniel J.,Fire Alarm Technician,No,6,405,7459,0.054,No
19,3,LOS ANGELES,1995-11-07,Claremont Unified ,School Board,,Full,Lord,Nat,Risk Manager,No,4,3090,8900,0.347,Yes
19,3,LOS ANGELES,1995-11-07,Claremont Unified ,School Board,,Full,Presecan,Joan,Teacher,No,4,2905,8900,0.326,Yes
19,3,LOS ANGELES,1995-11-07,Claremont Unified ,School Board,,Full,Edwards,Susan,No Ballot Designation,No,4,2338,8900,0.263,No
19,3,LOS ANGELES,1995-11-07,Claremont Unified ,School Board,,Full,Dierking,John,Attorney,No,4,567,8900,0.064,No
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,1.0,Full,Rahh,Amen,Professor,No,3,1551,3347,0.463,Yes
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,1.0,Full,Hart-Holifield,Emily,Compton College Trustee,Yes,3,1387,3347,0.414,No
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,1.0,Full,Sneed,Patricia,Educator,No,3,409,3347,0.122,No
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,3.0,Full,Swift,Kent,Peace Officer,Yes,2,998,1868,0.534,Yes
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,3.0,Full,Flores,Mark-Anthony,Educational Consultant,No,2,870,1868,0.466,No
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,4.0,Full,Pena,Ignacio G.,Incumbent,Yes,2,638,1142,0.559,Yes
19,3,LOS ANGELES,1995-11-07,Compton Community College ,School Board,4.0,Full,Musgrove,John K.,Financial Services Consultant,No,2,504,1142,0.441,No
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Patillo,Cloria,Incumbent,Yes,8,1891,10797,0.175,No
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Kimbrew,Basil,Businessman/Edu. Consultant,No,8,1563,10797,0.145,Yes
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Lankster,Saul E.,Television Producer/Host,No,8,1328,10797,0.123,Yes
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Mays,Jeannee,Account Clerk,No,8,1314,10797,0.122,Yes
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Scott,Otha Ray,Retired Math Teacher,No,8,1244,10797,0.115,No
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Brown,Arlene M.,Retired School Employee,No,8,1229,10797,0.114,No
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Goodin,Walter,Paralegal,No,8,1131,10797,0.105,No
19,3,LOS ANGELES,1995-11-07,Compton Unified ,School Board,,Full,Cabrera,Alfonso,Retired Administrator,No,8,1097,10797,0.102,No
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,"Beck, Sr.",Richard,Pharmacist,No,6,2436,11662,0.209,Yes
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,Cohen,Rosemary J.,Small Business Owner,No,6,2372,11662,0.203,Yes
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,Hanes,Mary L.,Incumbent,Yes,6,2293,11662,0.197,Yes
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,Ramirez,Gilbert,Parole Officer,No,6,1984,11662,0.17,No
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,Knoll,Bill,Director of Animation,No,6,1805,11662,0.155,No
19,3,LOS ANGELES,1995-11-07,Covina-Valley Unified,School Board,,Full,Bliss,Andrew H.,Health Care Consultant,No,6,772,11662,0.066,No
19,3,LOS ANGELES,1995-11-07,Culver City Unified  ,School Board,,Full,Eskridge,Michael,School Board Member,Yes,5,1528,5657,0.27,Yes
19,3,LOS ANGELES,1995-11-07,Culver City Unified  ,School Board,,Full,Bubar,Stewart M.,Educator,No,5,1487,5657,0.263,Yes
19,3,LOS ANGELES,1995-11-07,Culver City Unified  ,School Board,,Full,Horn,Tom,Litigation Negotiator,No,5,1424,5657,0.252,No
19,3,LOS ANGELES,1995-11-07,Culver City Unified  ,School Board,,Full,Locko,Charles,Attorney At Law,No,5,1091,5657,0.193,No
19,3,LOS ANGELES,1995-11-07,Culver City Unified  ,School Board,,Full,Yudess,Barry M.,Corporate Executive,No,5,127,5657,0.022,No
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,1.0,Short,Andresen,Cheryl A.,Instructional Assistant,No,3,2886,4330,0.667,Yes
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,1.0,Short,Pizzo,Matthew J.,Local Businessman,No,3,1096,4330,0.253,No
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,1.0,Short,Haasis,Rachel,Draftsman,No,3,348,4330,0.08,No
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,2.0,Full,Hoffer,Margo,Incumbent,Yes,1,3728,3728,1.0,Yes
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,3.0,Full,Tesoriero,Mary,Incumbent,Yes,1,3736,3736,1.0,Yes
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,4.0,Full,LaPlante,Donald,Incumbent,Yes,2,3071,4283,0.717,Yes
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,4.0,Full,Swearingen,Lyell W.,Retired Businessman,No,2,1212,4283,0.283,No
19,3,LOS ANGELES,1995-11-07,Downey Unified ,School Board,6.0,Full,Morris,D. Mark,Governing Board Member,Yes,1,3695,3695,1.0,Yes
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Ferguson,Ed C.,Business Consultant,No,7,1378,5572,0.247,Yes
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Jackman,Marshall,Engineer,No,7,1348,5572,0.242,Yes
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Figueroa,Frank,Airport Systems Developer,No,7,1118,5572,0.201,Yes
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Sanders,Olga Kimarra,County Services Worker,No,7,682,5572,0.122,No
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Tiwari,Dilip,School Planner,No,7,613,5572,0.11,No
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,Stinebiser,David E.,Accountant,No,7,243,5572,0.044,No
19,3,LOS ANGELES,1995-11-07,Duarte Unified ,School Board,,Full,"Camp, II",Kenneth A.,Student,No,7,190,5572,0.034,No
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Ward,Ida E.,Incumbent,Yes,6,500,1965,0.254,Yes
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Gaudi-Crawford,Janette,Homemaker,No,6,472,1965,0.24,Yes
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Doughty,Leland,Businessman/Educator,No,6,330,1965,0.168,No
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Smith,Walter E.,Systems Test Engineer,No,6,302,1965,0.154,No
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Zaferis,Dennis,Engineering Manager,No,6,191,1965,0.097,No
19,3,LOS ANGELES,1995-11-07,Eastside Union Elementary,School Board,,Full,Stewart,Paul A.,Director of Operations,No,6,170,1965,0.087,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,1.0,Full,Jackson,Nathaniel,Retired College Administrator,No,4,10487,24297,0.432,Yes
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,1.0,Full,Collins,William,Retired Probation Director,No,4,5437,24297,0.224,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,1.0,Full,Gibson,Betty,Secretary,No,4,5011,24297,0.206,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,1.0,Full,Mathieu,Choca Lee,Regional Manager,No,4,3362,24297,0.138,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,2.0,Full,Fox,Delmer L. Del,Incumbent,Yes,2,13771,24123,0.571,Yes
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,2.0,Full,Porter,John A.,Retired Machanical Engineer,No,2,10352,24123,0.429,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,3.0,Full,Beverly,William James,Incumbent,Yes,1,22169,22169,1.0,Yes
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,5.0,Short,Haag,Robert,Educator,No,4,8114,26696,0.304,Yes
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,5.0,Short,Griffith,Owen H.,Governing BD Member Torrance USD,No,4,8049,26696,0.302,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,5.0,Short,Schaye,Carmen E.,College Dean/Teacher,No,4,7863,26696,0.295,No
19,3,LOS ANGELES,1995-11-07,El Camino Community College ,School Board,5.0,Short,Porter,Steve,Businessman/Consultant,No,4,2670,26696,0.1,No
19,3,LOS ANGELES,1995-11-07,El Monte City ,School Board,,Full,Hake,Stephen D.,Incumbent,Yes,4,1136,4205,0.27,Yes
19,3,LOS ANGELES,1995-11-07,El Monte City ,School Board,,Full,Ishigaki,Emily,Incumbent,Yes,4,1098,4205,0.261,Yes
19,3,LOS ANGELES,1995-11-07,El Monte City ,School Board,,Full,Garcia,Larry,Community Relations Director,No,4,1083,4205,0.258,No
19,3,LOS ANGELES,1995-11-07,El Monte City ,School Board,,Full,Beltran,Gloria,Director-Health Education,No,4,888,4205,0.211,No
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Chavez,Cecelia M.,Incumbent,Yes,6,1963,9370,0.209,Yes
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Salcido,Raul,Teacher/School Prinicipal,Yes,6,1702,9370,0.182,Yes
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Gomez,Mary Eva.,Incumbent,Yes,6,1631,9370,0.174,Yes
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Celiz,Esther,Special Educational Aide,No,6,1561,9370,0.167,Yes
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Garcia,John J.,Incumbent,Yes,6,1276,9370,0.136,No
19,3,LOS ANGELES,1995-11-07,El Rancho Unified ,School Board,,Full,Baker,Tom,Recreation Leader,No,6,1237,9370,0.132,No
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Powell,Chris,Chief Financial Officer,No,6,1275,3699,0.345,Yes
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Echevarria,Margaret,Student,No,6,912,3699,0.247,Yes
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Reeves,David W.,Trainer/Analyst,No,6,550,3699,0.149,No
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Wise,Keith R.,Electrical Contractor,No,6,459,3699,0.124,No
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Leitch,Alan,Incumbent,Yes,6,452,3699,0.122,No
19,3,LOS ANGELES,1995-11-07,El Segundo Unified ,School Board,,Full,Smith,Herb,Journalist,No,6,51,3699,0.014,No
19,3,LOS ANGELES,1995-11-07,Garvey Elementary ,School Board,,Full,Miranda,Robert,Businessman,No,4,511,1524,0.335,Yes
19,3,LOS ANGELES,1995-11-07,Garvey Elementary ,School Board,,Full,Gonzalez,Loretta,Incumbent,Yes,4,433,1524,0.284,Yes
19,3,LOS ANGELES,1995-11-07,Garvey Elementary ,School Board,,Full,O'Brien,Jerry,Business Owner,No,4,307,1524,0.201,No
19,3,LOS ANGELES,1995-11-07,Garvey Elementary ,School Board,,Full,Gandara,R. Alejandro,Cosmetologist,No,4,273,1524,0.179,No
19,3,LOS ANGELES,1995-11-07,Glendora Unified ,School Board,,Full,Harding,Peggy,Incumbent,Yes,3,1845,5218,0.354,Yes
19,3,LOS ANGELES,1995-11-07,Glendora Unified ,School Board,,Full,Blum,Doris M.,Incumbent,Yes,3,1785,5218,0.342,Yes
19,3,LOS ANGELES,1995-11-07,Glendora Unified ,School Board,,Full,Mendoes,Donald,Businessman,No,3,1588,5218,0.304,No
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Hsu,Norman,School Board Member,Yes,6,2989,8707,0.343,Yes
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Manning,Kenneth,Incumbent,Yes,6,2235,8707,0.257,Yes
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Eddington,Lyla A.,Community College Administrator,No,6,1306,8707,0.15,No
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Minardi,Felicia F.,Elementary School Teacher,No,6,819,8707,0.094,No
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Medina,Angel,Government Program Analyst,No,6,720,8707,0.083,No
19,3,LOS ANGELES,1995-11-07,Hacienda La Puente Unified,School Board,,Full,Marquez,Diana,Patient Registration Clerk,No,6,638,8707,0.073,No
19,3,LOS ANGELES,1995-11-07,Hawthorne Elementary,School Board,,Full,Desimone,Frank M.,Business Owner,No,3,1248,3093,0.403,Yes
19,3,LOS ANGELES,1995-11-07,Hawthorne Elementary,School Board,,Full,Yee,Jack,Incumbent,Yes,3,1050,3093,0.339,Yes
19,3,LOS ANGELES,1995-11-07,Hawthorne Elementary,School Board,,Full,Korpie-Robles,Karolyn,Secretary,No,3,795,3093,0.257,No
19,3,LOS ANGELES,1995-11-07,Lancaster Elementary ,School Board,,Full,Visokey,Andy,Incumbent,Yes,3,4545,11153,0.408,Yes
19,3,LOS ANGELES,1995-11-07,Lancaster Elementary ,School Board,,Full,Kleven,Merle E.,Field Supervisor,No,3,3363,11153,0.302,Yes
19,3,LOS ANGELES,1995-11-07,Lancaster Elementary ,School Board,,Full,Hanson,Jeff,Delivery Driver,No,3,3245,11153,0.291,No
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Berns,Amy,Incumbent,Yes,7,2860,9913,0.289,Yes
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Rubin,Larry H.,Educator,No,7,2481,9913,0.25,Yes
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Whitehead,Gordon,Certified Public Accountant,No,7,1880,9913,0.19,No
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Berry,Betsy L.,Speech Pathologist,No,7,1156,9913,0.117,No
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Eastman,Charles B.,Educator/Financial Consultant,No,7,664,9913,0.067,No
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Berry,Michael J.,Electronic Technician,No,7,443,9913,0.045,No
19,3,LOS ANGELES,1995-11-07,Las Virgenes Unified ,School Board,,Full,Inezian,Edith,Homemaker/Legal Secretary,No,7,429,9913,0.043,No
19,3,LOS ANGELES,1995-11-07,Little Lake City Elementary,School Board,,Full,Putnam,Betty,Incumbent,Yes,4,1182,3922,0.301,Yes
19,3,LOS ANGELES,1995-11-07,Little Lake City Elementary,School Board,,Full,Gonzalez,Louie,Incumbent,Yes,4,1171,3922,0.299,Yes
19,3,LOS ANGELES,1995-11-07,Little Lake City Elementary,School Board,,Full,Mendez,Sara P.,Incumbent,Yes,4,1096,3922,0.279,Yes
19,3,LOS ANGELES,1995-11-07,Little Lake City Elementary,School Board,,Full,LeGaspe-Castilo,Nellieann,Preschool Board Treasurer,No,4,473,3922,0.121,No
19,3,LOS ANGELES,1995-11-07,Los Nietos Elementary,School Board,,Full,Elizalde,Betty,Retired School Secretary,No,3,346,788,0.439,Yes
19,3,LOS ANGELES,1995-11-07,Los Nietos Elementary,School Board,,Full,Orona,Sylvia,Incumbent,Yes,3,251,788,0.319,Yes
19,3,LOS ANGELES,1995-11-07,Los Nietos Elementary,School Board,,Full,Gray,Bobbie,Appointed Incumbent,Yes,3,191,788,0.242,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Araujo,Margaret,Community Aide,No,9,996,6092,0.163,Yes
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Green-Geter,Cynthia,Incumbent,Yes,9,990,6092,0.163,Yes
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Williams,Thelma C.,Incumbent,Yes,9,895,6092,0.147,Yes
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Armstrong,Richard,Incumbent,Yes,9,846,6092,0.139,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Lopez,Adolph,Self Employed Businessman,No,9,837,6092,0.137,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Bright,Margaret,No Ballot Designation,No,9,568,6092,0.093,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Alford,Kenneth J.,College Administrator,No,9,475,6092,0.078,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,Law,Claude,Warehouse Worker,No,9,252,6092,0.041,No
19,3,LOS ANGELES,1995-11-07,Lynwood Unified ,School Board,,Full,"Beimer, Jr.",John C.,Retired Construction Worker,No,9,233,6092,0.038,No
19,3,LOS ANGELES,1995-11-07,Montebello Unified ,School Board,,Full,"Adams, II",Richard L.,Attorney/Teacher,No,5,4261,13293,0.321,Yes
19,3,LOS ANGELES,1995-11-07,Montebello Unified ,School Board,,Full,Serrano,Frank M.,"President, School Board",Yes,5,3571,13293,0.269,Yes
19,3,LOS ANGELES,1995-11-07,Montebello Unified ,School Board,,Full,Chavira,Barbara L.,Incumbent,Yes,5,3500,13293,0.263,No
19,3,LOS ANGELES,1995-11-07,Montebello Unified ,School Board,,Full,Maytorena,Joseph A.,Retired School Administrator,No,5,994,13293,0.075,No
19,3,LOS ANGELES,1995-11-07,Montebello Unified ,School Board,,Full,Alvarado,Victoria L.,Independent Contractor,No,5,967,13293,0.073,No
19,3,LOS ANGELES,1995-11-07,Mountain View Elementary,School Board,,Full,Garcia,John,Deputy Probation Officer,No,3,393,1108,0.355,Yes
19,3,LOS ANGELES,1995-11-07,Mountain View Elementary,School Board,,Full,Ruiz,Margie,Homemaker,No,3,371,1108,0.335,Yes
19,3,LOS ANGELES,1995-11-07,Mountain View Elementary,School Board,,Full,Caraveo,Georgino,Incumbent,Yes,3,344,1108,0.31,No
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,Booth,Barbara W.,Governing Board Member,Yes,7,16858,93364,0.181,Yes
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,MacBride,Dexter D.,Educator/Administrator,No,7,16358,93364,0.175,Yes
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,Chyr,Fred,Business Investment Consultant,No,7,15372,93364,0.165,Yes
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,McDaniel,LeRoy,Incumbent,Yes,7,14813,93364,0.159,No
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,Selby,G. Stanton,Incumbent,Yes,7,13018,93364,0.139,No
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,Lewis,Robert,"Director, Rowland Water District",No,7,12339,93364,0.132,No
19,3,LOS ANGELES,1995-11-07,Mt. San Antonio Community College,School Board,,Full,Billman,David,No Ballot Designation,No,7,4606,93364,0.049,No
19,3,LOS ANGELES,1995-11-07,Newhall Elementary ,School Board,,Full,Winkler,Ron,Businessman,No,4,1644,5143,0.32,Yes
19,3,LOS ANGELES,1995-11-07,Newhall Elementary ,School Board,,Full,"Ellis, Jr.",Philip C.,Bank Legal Counsel,No,4,1350,5143,0.262,Yes
19,3,LOS ANGELES,1995-11-07,Newhall Elementary ,School Board,,Full,Pritsker,Keith,Attorney/Businessman,No,4,1210,5143,0.235,No
19,3,LOS ANGELES,1995-11-07,Newhall Elementary ,School Board,,Full,Bissell,Brian,College Program Administrator,No,4,939,5143,0.183,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Bermudez,Rudy,School Board Member,Yes,8,3798,14507,0.262,Yes
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Shryock,Leonard,High School Teacher,No,8,2965,14507,0.204,Yes
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Deal,Pauline,Homemaker,No,8,2722,14507,0.188,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Plascenica,Felipe,Attorney at Law,No,8,1204,14507,0.083,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Drayer,David H.,School Teacher,No,8,1121,14507,0.077,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Thorn,Sandra,Broker,No,8,1115,14507,0.077,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Cosper,David,Business Manager,No,8,1078,14507,0.074,No
19,3,LOS ANGELES,1995-11-07,Norwalk-La Mirada Unified,School Board,,Full,Blodgett,Richard A.,Teacher/Local Businessman,No,8,504,14507,0.035,No
